index,Hospital Name,Address,Phone No.,Email Address,lat,lng,Website Url,country,state,city,Star,Rating,Pincode,primary_category_name,Category Name
1,Birla Eye Hospital & Lasik Centre,"B-180, Opposite Zilla Parishad,, Trimbak Road, near Pooja Internatinal Hotel, Nashik, Maharashtra 422002, India",+91 253 250 5666,info@birlaeyehospital.com,19.9978705,73.7832198,https://birlaeyehospital.com/,India,Maharashtra,Nashik,4.7,991,422002,Ophthalmologists,"Eye care centers,Ophthalmologists,Hospitals"
2,KMC Eye & Skin Hospital | Eye & Skin Specialist in Navi Mumbai,"Plot No. 194, Nms Icon, 4th Floor, Shop No. 414, 415 & 416, Sector 19, Ulwe, Navi Mumbai, Maharashtra 410206, India",+91 98695 54499,info@kmchospitals.in,18.9743945,73.0278677,https://www.kmchospitals.in/,India,Maharashtra,Mumbai,5,710,410206,Ophthalmologists,"Eye care centers,Opticians,Ophthalmologists,Hair removal services,Surgeons,Hospitals,Dermatologists,Ophthalmology clinics,Lasik surgeons,Skin care clinics"
3,DRISHTIDEEP EYE INSTITUTE | Best Eye Hospital in Dankuni | Eye Care Treatment,"Durgapur Expy, Himnagar, Monoharpur, Gobra, Dankuni, West Bengal 712310, India",+91 98317 27098,drishtideepeye@gmail.com,22.682537,88.2959457,http://www.drishtideep.com/,India,West Bengal,Kolkata,4.4,229,712310,Ophthalmologists,"Eye care centers,Ophthalmology clinics,Ophthalmologists"
4,Dr. Anant Gade - Nagpur Eye Specialist Doctor,"Anjuman Shopping Complex, B-8, mangal bazar/ Dr capt Rangilal marg, Koradi Colony, Nagpur, Maharashtra 440001, India",+91 96042 94979,gadeeyeclinic@gmail.com,21.163943,79.080613,http://gadeeyeclinic.com/,India,Maharashtra,Nagpur,3.9,24,440001,Ophthalmologists,"Ophthalmologists,Opticians,Eye care centers,Hospitals,Medical clinics,Doctors,Ophthalmology clinics"
5,Dr. Kruti Shah - Best Eye Clinic Near Me Vile Parle| Laser Cataract | Pediatric Eye & Squint Surgeon in Mumbai,"B/6, 2nd Floor, Nursing Home, Majithia Apartments, Swami Vivekananda Rd, above Irla, Navpada, Irla, Vile Parle West, Mumbai, Maharashtra 400056, India",+91 87797 78567,drkrutishah93@gmail.com,19.1066669,72.8403027,https://drkrutishahseyeclinic.com/,India,Maharashtra,Mumbai,4.9,51,400056,Ophthalmologists,"Ophthalmologists,Eye care centers,Pediatric ophthalmologists"
6,Dr. Pratibha Patil Chumbale. Horizon Hospital. Eye Hospital. Cataract surgeon. Squint surgeon. Pediatric ophthalmologist,"Horizon Hospital, Mundhwa - Kharadi Rd, Raghoba Patil Nagar, Santipur, Thite Nagar, Kharadi, Pune, Maharashtra 411014, India",+91 88307 59510,horizonhospitalpune@gmail.com,18.5394829,73.9348209,http://www.horizonhospitalpune.com/,India,Maharashtra,Pune,5,9,411014,Ophthalmologists,"Eye care centers,Ophthalmologists,Hospitals,Pediatric ophthalmologists"
7,Mumbai Eye Care,"Sai Vaibhav CHS, 101/102, Jhulelal Chowk, above Eves Saloon, Sindhu Wadi, Ghatkopar East, Mumbai, Maharashtra 400077, India",+91 22 2506 6699,mumbaieyecarecornealasik@gmail.com,19.0749216,72.9053314,https://www.mumbaieyecare.com/,India,Maharashtra,Mumbai,4.9,1481,400077,Ophthalmologists,"Eye care centers,Ophthalmologists,Lasik surgeons,Ophthalmology clinics,Pediatric ophthalmologists,Hospitals"
8,Dr. Sangeeta Roy - Retina Specialist in Kolkata,"Spectra Eye Hospital, 186 RAJARHAT ROAD, LOKNATH TEMPLE, Chinar Park, Kolkata, West Bengal 700157, India",+91 95600 24545,dr.sangeetaroy@gmail.com,22.6216723,88.4390837,https://www.drsangeetaroy.com/,India,West Bengal,Kolkata,5,3,700157,Ophthalmologists,"Pediatric ophthalmologists,Ophthalmologists,Eye care centers"
9,Ojas Eye Hospital - Best Eye Hospital In Mumbai,"And, Ojas Eye Hospital Ground Floor, Roseland Building Junction of Linking Road, Waterfield Road, Bandra West, Mumbai, Maharashtra 400050, India",+91 72910 89674,info@ojaseyehospital.com,19.0634816,72.8345088,https://www.ojaseyehospital.com/eye-hospital-in-bandra.html,India,Maharashtra,Mumbai,4.8,1370,400050,Ophthalmologists,"Ophthalmology clinics,Lasik surgeons,Ophthalmologists,Eye care centers,Insurance companies,Hospitals"
10,Dr Roopali Nerlikar Amruta eye clinic,"Lane Number 1 Corner, Prabhat Rd Pune, Deccan Gymkhana, Pune, Maharashtra 411004, India",+91 98505 33847,nerlikar.roopali@gmail.com,18.5140195,73.8390309,https://www.drroopalinerlikar.com/,India,Maharashtra,Pune,4.5,34,411004,Ophthalmologists,"Lasik surgeons,Ophthalmologists,Eye care centers"
11,Dr Dipa Saha (ADEA Diabetes Centre Eyecare),"23, 32, S-1, Jessore Rd, near Airport, International Airport, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028, India",+91 97485 80730,appointmentadea@gmail.com,22.647185,88.434545,http://www.adeadiabetes.com/,India,West Bengal,Kolkata,5,6,700028,Ophthalmologists,"Doctors,Optometrists,Otolaryngologists,ENT Specialists,Ophthalmologists,Opticians,Lasik surgeons,Diabetologists,Diabetes centers,Pediatric ophthalmologists,Eye care centers"
12,"Dr.Dipankar Anand - Eye specialist in Noida I Best Eye specialist in Noida I Lasik, Cataract & Retina Experts","Dipakshi, vision care, Deepakshi Hospital, C 53 A, Sector 33, Noida, Uttar Pradesh 201301, India",+91 95994 54920,info@dipakshivisioncare.in,28.5903643,77.3576477,https://dipakshivisioncare.in/,India,Uttar Pradesh,Noida,4.5,18,201301,Ophthalmologists,Ophthalmologists
13,Dr Chougule's Eye Care and Cornea Clinic,"Alankar Theatre Building, Building, 8, 59, Gen Vaidya Marg, behind Agarkar Nagar, Pune, Maharashtra 411001, India",+91 90118 50869,dryogesh.16@gmail.com,18.5283039,73.8786367,https://www.drchouguleeyecarepune.com/,India,Maharashtra,Pune,5,2,411001,Ophthalmologists,"Eye care centers,Ophthalmologists,Medical clinics,Surgical centers"
14,Saanvi Eye Clinic,"Near, Ashish Annex Building, Laxmi Nagar Square, Aath Rasta Chowk, Nagpur, Maharashtra 440010, India",+91 93726 35386,info@saanvieyeclinic.com,21.1244801,79.0644019,http://www.saanvieyeclinic.com/,India,Maharashtra,Nagpur,5,3,440010,Ophthalmologists,Ophthalmologists
15,Mehta International Eye Institute,"Sea Side Building, Bus Station, 147, Shahid Bhagat Singh Rd, near Colaba, opposite Saurabh Hotel, Azad Nagar, Colaba, Mumbai, Maharashtra 400005, India",+91 22 2215 1303,drkeiki@mehtaeyeinstitute.com,18.9126836,72.822729,http://www.mehtaeyeinstitute.com/,India,Maharashtra,Mumbai,4.3,74,400005,Ophthalmologists,"Doctors,Eye care centers,Ophthalmologists,Medical schools,Ophthalmology clinics,Pediatric ophthalmologists"
16,Aksha Eye Hospital,"Aksha Eye Hospital, Third Floor, ""THE ADDRESS"", Opp. Silver Heights, Circle, 150 Feet Ring Rd, Nana Mava, Rajkot, Gujarat 360005, India",+91 75740 56000,akshaeyehospital@gmail.com,22.2770205,70.7794328,http://www.eyehospitalrajkot.com/,India,Gujarat,Rajkot,4.9,595,360005,Ophthalmologists,"Eye care centers,Ophthalmologists,Pediatric ophthalmologists,Ophthalmology clinics,Optometrists"
17,Dr. Nishita Borde - Best Eye Specialist in pune | Pediatric Eye Doctor | ophthalmologist in Sinhagad road,"Dr Borde Clinic, Dandekar Pool, 103, Sinhgad Rd, near Rashtra Seva Dal, opp. Vighnaharta Complex, Shivai-1, Pune, Maharashtra 411030, India",+91 84689 34960,drbordeclinicpune@gmail.com,18.5012012,73.8477355,https://bordeclinicpune.com/,India,Maharashtra,Pune,4.8,24,411030,Ophthalmologists,"Ophthalmologists,Ophthalmology clinics,Pediatric ophthalmologists"
